Model,Horizon (s),ADE (m),FDE (m),RMSE (m),MAE (m)
Constant Velocity,30,20.409151139429962,5.189700243989984,44.64314865596112,20.409151139429962
Constant Velocity,60,42.8685071591546,5.841533477984481,114.45265270896222,42.8685071591546
Constant Velocity,120,116.62673726770664,13.715426956440076,298.74969713045465,116.62673726770664
Constant Velocity,180,217.48757741773164,25.00971505296854,522.2235214820823,217.48757741773164
Constant Velocity,300,430.6458910788264,58.44536414762466,973.4625470697227,430.6458910788264
Constant Turn Rate,30,21.413683695042085,5.515177226788468,47.15940470553735,21.413683695042085
Constant Turn Rate,60,47.372927845150784,6.515626014249311,127.52570562581334,47.372927845150784
Constant Turn Rate,120,131.59756362486243,15.377753070484754,338.6638866899896,131.59756362486243
Constant Turn Rate,180,243.52661887279825,28.541339788530053,592.9636529946949,243.52661887279825
Constant Turn Rate,300,495.32628562695294,64.34259581120466,1126.0375484874858,495.32628562695294
Kalman Filter,30,69.66128714271116,25.59672218951538,126.2435121382365,69.66128714271116
Kalman Filter,60,116.64743498587292,38.40651347159521,207.70187202951772,116.64743498587292
Kalman Filter,120,223.77697636750946,69.98483024723635,401.95843272775573,223.77697636750946
Kalman Filter,180,344.3072908993446,107.16662033468958,620.6301465846316,344.3072908993446
Kalman Filter,300,584.5983591568821,195.83485873288984,1053.0162651217988,584.5983591568821
