mmsi,total_records,first_seen,last_seen,duration_days,avg_latitude,avg_longitude,avg_speed_knots,min_speed_knots,max_speed_knots,avg_course
257949600,2409590,2024-08-02 12:17:56.551000+00:00,2025-03-31 06:01:32.200000+00:00,240.74,61.102,5.1475,9.66,0.0,18.1,187.7
258221500,2178652,2024-08-02 12:18:04.805000+00:00,2025-03-31 06:01:34.634000+00:00,240.74,61.0787,5.5036,5.5,0.0,16.0,165.0
259016380,1714088,2024-08-10 11:25:57.240000+00:00,2025-03-31 06:01:33.597000+00:00,232.77,61.1194,5.2076,0.44,0.0,12.9,235.5
257642000,1683096,2024-08-02 12:19:17.986000+00:00,2025-03-31 06:01:18.782000+00:00,240.74,61.0736,5.5025,4.67,0.0,14.6,132.4
257914900,1429511,2024-08-02 13:26:30.719000+00:00,2025-03-31 06:01:33.597000+00:00,240.69,61.1212,5.2023,0.35,0.0,10.5,192.1
259419000,1116690,2024-08-02 12:17:55.493000+00:00,2025-03-31 06:00:27.250000+00:00,240.74,61.0845,5.5034,4.96,0.0,18.9,170.5
257071280,1082447,2024-08-02 12:17:50.289000+00:00,2025-03-31 06:01:28.086000+00:00,240.74,61.0377,5.3299,0.17,0.0,10.6,200.3
258130000,1061579,2024-08-02 16:17:53.271000+00:00,2025-03-30 17:50:52.489000+00:00,240.06,61.1094,5.5338,26.98,0.0,33.8,171.5
257004700,946271,2024-08-02 12:17:51.332000+00:00,2025-03-13 09:56:19.062000+00:00,222.9,61.0653,5.5648,0.45,0.0,8.6,183.6
258305000,651241,2024-08-02 13:26:50.286000+00:00,2025-03-31 06:01:32.200000+00:00,240.69,61.1468,6.0462,14.55,0.0,24.7,216.3
257605000,632016,2024-08-02 16:06:00.555000+00:00,2025-03-30 16:31:47.936000+00:00,240.02,61.1007,5.2383,27.88,0.0,36.7,177.8
258394000,556948,2024-08-04 06:33:43.622000+00:00,2025-03-30 09:26:02.596000+00:00,238.12,61.1474,5.0748,1.06,0.0,10.2,206.0
257837700,524184,2024-08-02 14:42:36.909000+00:00,2025-03-31 05:59:01.365000+00:00,240.64,61.1186,5.8909,2.64,0.1,11.6,168.6
